,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
64,DXCM,"DexCom, Inc.",,72.85 +2.15 (+3.04%),2.15,+3.04%,490242,3.804M,28.468B,51.30,-46.65%,
65,CNK,"Cinemark Holdings, Inc.",,25.78 +0.77 (+3.08%),0.77,+3.08%,483966,3.279M,3.153B,12.51,39.88%,
66,SOFI,"SoFi Technologies, Inc.",,12.32 +0.37 (+3.10%),0.37,+3.10%,7.103M,44.971M,13.509B,31.59,62.36%,
67,MNSO,MINISO Group Holding Limited,,21.67 +0.66 (+3.14%),0.66,+3.14%,221181,1.048M,6.968B,21.89,-0.90%,
68,SPR,"Spirit AeroSystems Holdings, Inc.",,34.84 +1.05 (+3.11%),1.05,+3.11%,368641,1.2M,4.086B,-,-3.76%,
69,CAR,"Avis Budget Group, Inc.",,59.72 +1.71 (+2.95%),1.71,+2.95%,90507,822363,2.097B,-,-50.25%,
70,GEV,GE Vernova Inc.,,328.58 +9.65 (+3.03%),9.65,+3.03%,603895,3.968M,90.656B,58.89,124.57%,
71,GEO,"The GEO Group, Inc.",,27.25 +0.82 (+3.10%),0.82,+3.10%,296465,2.911M,3.825B,123.86,87.98%,
72,CROX,"Crocs, Inc.",,106.62 +3.13 (+3.02%),3.13,+3.02%,226211,1.604M,5.976B,6.71,-26.07%,
73,VIK,Viking Holdings Ltd,,40.25 +1.26 (+3.23%),1.26,+3.23%,1.165M,3.175M,17.829B,111.81,49.39%,
74,SPNT,SiriusPoint Ltd.,,15.76 +0.47 (+3.07%),0.47,+3.07%,60820,699051,1.828B,15.15,21.25%,
75,ADMA,"ADMA Biologics, Inc.",,19.25 +0.54 (+2.89%),0.54,+2.89%,959984,2.548M,4.555B,23.77,196.04%,
76,STRL,"Sterling Infrastructure, Inc.",,121.63 +3.59 (+3.04%),3.59,+3.04%,51332,593127,3.722B,14.71,7.61%,
77,AVPT,"AvePoint, Inc.",,14.98 +0.44 (+2.99%),0.44,+2.99%,115099,1.471M,3.038B,-,81.98%,
78,VST,Vistra Corp.,,128.26 +3.80 (+3.05%),3.8,+3.05%,1.129M,8.861M,43.476B,18.35,86.46%,
79,FA,First Advantage Corporation,,13.88 +0.43 (+3.20%),0.43,+3.20%,136004,848232,2.408B,-,-15.73%,
80,GLBE,Global-E Online Ltd.,,37.41 +1.09 (+3.00%),1.09,+3.00%,147978,1.658M,6.247B,-,-2.47%,
